"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 13 14:10:54 CST 2022","Fri May 13 14:10:55 CST 2022","644","testcase","test_Login11","TestLogin","","","Current个人信息查看接口","请求url:https://fat.gaoding.com/api/website/ps/user/current</br>请求方法:GET</br>期望结果:""706691603""</br>实际结果:{'code': 200, 'body': {'id': '9019554957102826546', 'ums_user': {'id': '706691603', 'name': '182****0002'}, 'name': '182****0002', 'avatar': {'url': 'https://st-gdx.dancf.com/gaodingx/152/configs/system/20190620-155354-47e9.png', 'width': 500, 'height': 500}, 'mobile_area_code': '86', 'mobile': '182****0002', 'password': True, 'account_type': 0, 'has_org': True}}"
"passed","Fri May 13 14:10:54 CST 2022","Fri May 13 14:10:54 CST 2022","5","testcase","test_Login11","TestLogin","","","test_run[case0]",""
